overs,Batting Team,Batsman on strike,batsman on non-strike,bowler,runs scored,extras,out type,player dismissed,wides
0.1,Rajasthan Royals,T Kohli,YK Pathan,GD McGrath,0,0,,,
0.2,Rajasthan Royals,T Kohli,YK Pathan,GD McGrath,0,0,,,
0.3,Rajasthan Royals,T Kohli,YK Pathan,GD McGrath,0,0,,,
0.4,Rajasthan Royals,T Kohli,YK Pathan,GD McGrath,0,1,,,wd
0.5,Rajasthan Royals,T Kohli,YK Pathan,GD McGrath,0,0,,,
0.6,Rajasthan Royals,T Kohli,YK Pathan,GD McGrath,6,0,,,
0.7,Rajasthan Royals,T Kohli,YK Pathan,GD McGrath,0,0,,,
1.1,Rajasthan Royals,YK Pathan,T Kohli,B Geeves,1,0,,,
1.2,Rajasthan Royals,T Kohli,YK Pathan,B Geeves,0,0,,,
1.3,Rajasthan Royals,T Kohli,YK Pathan,B Geeves,0,0,,,
1.4,Rajasthan Royals,T Kohli,YK Pathan,B Geeves,1,0,,,
1.5,Rajasthan Royals,YK Pathan,T Kohli,B Geeves,4,0,,,
1.6,Rajasthan Royals,YK Pathan,T Kohli,B Geeves,4,0,,,
2.1,Rajasthan Royals,T Kohli,YK Pathan,GD McGrath,0,0,,,
2.2,Rajasthan Royals,T Kohli,YK Pathan,GD McGrath,0,0,,,
2.3,Rajasthan Royals,T Kohli,YK Pathan,GD McGrath,0,0,caught,T Kohli,
2.4,Rajasthan Royals,SR Watson,YK Pathan,GD McGrath,0,0,,,
2.5,Rajasthan Royals,SR Watson,YK Pathan,GD McGrath,0,0,,,
2.6,Rajasthan Royals,SR Watson,YK Pathan,GD McGrath,0,0,,,
3.1,Rajasthan Royals,YK Pathan,SR Watson,B Geeves,1,0,,,
3.2,Rajasthan Royals,SR Watson,YK Pathan,B Geeves,4,0,,,
3.3,Rajasthan Royals,SR Watson,YK Pathan,B Geeves,4,0,,,
3.4,Rajasthan Royals,SR Watson,YK Pathan,B Geeves,1,0,,,
3.5,Rajasthan Royals,YK Pathan,SR Watson,B Geeves,0,0,run out,YK Pathan,
